run_id,scenario,baseline,seed,mean_fatigue,max_fatigue,mean_rula,workload_gini,energy_kwh,energy_per_unit,co2e_kg,scrap_rate,throughput,downtime_hrs,oee,constraint_violations,runtime_sec,demand,good_units,scrap_units,unfinished,maintenance_events,downtime_share,mean_health_end,hc1_breaches,hc3_breaches,mean_cognitive_load,availability,performance,quality_rate,rest_episodes,rest_minutes,hc1_filtered,hc2_filtered,hc3_filtered,hc4_filtered,machine_utilisation,operator_utilisation,deferral_epochs
S3_B1_s21,S3,B1,21,0.7694,1.0,4.8992,0.0057,124.642,1.4005,41.132,0.1461,89,3.0,0.6293,93,0.0298,94,76,13,5,8,0.075,0.5942,52,41,0.4967,0.925,0.7968,0.8539,0,0.0,0,0,0,0,0.5711,0.9518,0
S3_B1_s22,S3,B1,22,0.7738,1.0,4.9025,0.0057,129.843,1.4925,42.848,0.1494,87,3.25,0.6141,87,0.0261,94,74,13,7,8,0.0813,0.7146,50,37,0.5088,0.9187,0.7859,0.8506,0,0.0,0,0,0,0,0.5726,0.9543,0
S3_B1_s23,S3,B1,23,0.7362,1.0,4.8225,0.0043,121.989,1.3117,40.256,0.0753,93,1.75,0.7182,79,0.0267,94,86,7,1,7,0.0437,0.6588,43,36,0.4979,0.9563,0.8122,0.9247,0,0.0,0,0,0,0,0.5705,0.9508,0
S3_B1_s24,S3,B1,24,0.7412,1.0,4.883,0.0036,128.806,1.4805,42.506,0.0575,87,3.25,0.7066,80,0.0249,94,82,5,7,9,0.0813,0.5792,41,39,0.5071,0.9187,0.816,0.9425,0,0.0,0,0,0,0,0.5607,0.9344,0
S3_B1_s25,S3,B1,25,0.7255,1.0,4.7726,0.0012,117.941,1.282,38.92,0.163,92,3.0,0.6268,79,0.0268,94,77,15,2,7,0.075,0.6029,39,40,0.4857,0.925,0.8096,0.837,0,0.0,0,0,0,0,0.5599,0.9332,0
S3_B1_s26,S3,B1,26,0.759,1.0,4.9381,0.0015,131.963,1.5168,43.548,0.069,87,1.5,0.7198,87,0.0247,94,81,6,7,7,0.0375,0.5346,49,38,0.5096,0.9625,0.8032,0.931,0,0.0,0,0,0,0,0.5686,0.9476,0
S3_B1_s27,S3,B1,27,0.7377,1.0,4.797,0.0036,121.628,1.322,40.137,0.087,92,3.0,0.6938,83,0.0247,94,84,8,2,7,0.075,0.5715,44,39,0.4797,0.925,0.8215,0.913,0,0.0,0,0,0,0,0.565,0.9417,0
S3_B1_s28,S3,B1,28,0.7016,1.0,4.5983,0.0105,111.494,1.1989,36.793,0.172,93,1.75,0.6356,66,0.0251,94,77,16,1,7,0.0437,0.7339,35,31,0.4588,0.9563,0.8028,0.828,0,0.0,0,0,0,0,0.5543,0.9239,0
S3_B1_s29,S3,B1,29,0.7535,1.0,4.796,0.0052,123.846,1.3609,40.869,0.1429,91,1.75,0.6583,88,0.0248,94,78,13,3,9,0.0437,0.6195,48,40,0.4865,0.9563,0.8031,0.8571,0,0.0,0,0,0,0,0.5707,0.9511,0
S3_B2_s00,S3,B2,0,0.7874,1.0,5.0489,0.0033,133.211,1.5858,43.96,0.1548,84,2.25,0.6407,100,0.0261,94,71,13,10,9,0.0563,0.7934,52,48,0.532,0.9437,0.8032,0.8452,0,0.0,0,0,0,0,0.5685,0.9476,0
